,latitude,longitude
141,39.4666667,-87.4138889
142,39.7683333,-86.1580556
143,45.416667,-80.1
144,39.6294444,-79.9561111
145,37.8716667,-122.2716667
146,41.5094444,-90.5786111
147,55.288131,23.957728
148,42.209774,-79.466844
149,42.2669444,-79.7108333
150,44.2950000,-93.2686111
151,40.7583333,-82.5155556
152,38.9516667,-92.3338889
153,45.3088889,-89.4963889
154,47.6063889,-122.3308333
155,33.4150000,-111.5488889
156,25.9327778,-80.1627778
157,28.9886111,-80.9025000
158,34.0522222,-118.2427778
159,40.5030556,-78.6305556
160,52.516667,-3.3
161,35.4491667,-86.7888889
162,25.9327778,-80.1627778
163,47.4158333,-120.2919444
164,35.3186111,-82.4611111
165,46.3580556,-94.2005556
166,39.4805556,-86.0550000
167,31.1911111,-95.2352778
168,37.7750000,-122.4183333
169,34.8761111,-83.9583333
170,35.2247222,-88.2491667
171,38.0683333,-78.8897222
172,35.20105,-91.831833
173,34.6377778,-97.8172222
174,50.396389,-4.138611
175,31.2133333,-82.3541667
176,33.5058333,-102.0086111
177,41.5200000,-81.4888889
178,61.4577778,-149.7288889
179,44.5366667,-122.9058333
180,33.5441667,-84.2338889
181,39.7391667,-104.9841667
182,30.3319444,-81.6558333
183,35.3733333,-119.0177778
184,33.7205556,-116.2147222
185,42.1033333,-76.2625000
186,40.0063889,-75.7036111
187,30.2669444,-97.7427778
188,33.5394444,-83.8194444
189,26.705621,-80.03643
190,33.6675000,-84.0177778
191,27.6383333,-80.3975000
192,27.2541667,-80.2300000
193,29.7630556,-95.3630556
194,46.7833333,-92.1063889
195,40.6800000,-102.8388889
196,41.1577778,-80.0888889
197,33.4213889,-96.5769444
198,39.8855556,-104.9866667
199,59.900209,5.282347
200,42.983333,-81.25
201,45.5113889,-92.9800000
202,42.6291667,-73.8650000
203,40.7138889,-116.1030556
204,37.9747222,-87.5558333
205,42.6525000,-73.7566667
206,35.2219444,-101.8308333
207,37.5483333,-121.9875000
208,32.7252778,-114.6236111
209,41.6833333,-86.2500000
210,43.8280556,-91.3038889
211,40.516977,-80.221348
212,39.9522222,-75.1641667
213,47.6063889,-122.3308333
214,38.2544444,-104.6086111
215,39.1619444,-84.4569444
216,32.7152778,-117.1563889
217,43.0730556,-89.4011111
218,40.4797222,-84.6283333
